brand;model;3G_bands;4G_bands;network_speed;GPRS;EDGE;announced;dimentions;weight_g;weight_oz;display_resolution;display_size;OS;CPU;GPU;internal_memory;primary_camera;secondary_camera;USB;battery;colors;approx_price_EUR;img_url
Acer;Iconia Talk S;HSDPA 850 / 1900 / 2100 ;LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800);HSPA 42.2/11.5 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2016  August;191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in);260;917;7.0 inches (~69.8% screen-to-body ratio);720 x 1280 pixels (~210 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;16/32 GB;13 MP| autofocus;2 MP| 720p;microUSB 2.0;Non-removable Li-Ion 3400 mAh battery (12.92 Wh);Black;170;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-talk-s.jpg
Acer;Liquid Z6 Plus; HSDPA; LTE;HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2016  August;153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in);169;596;5.5 inches (~71.7% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;32 GB;13 MP| autofocus| LED flash;5 MP;microUSB 2.0;Removable Li-Po 4080 mAh battery;Black| White;250;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6-plus.jpg
Acer;Liquid Z6; HSDPA; LTE;HSPA  LTE;Yes;Yes;2016  August;-;;;5.0 inches;720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.25 GHz Cortex-A53;Mali-T720MP2;8 GB;8 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Black| White;120;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z6.jpg
Acer;Iconia Tab 10 A3-A40;;;;No;No;2016  April;259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in);;;10.1 inches (~68.4% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720 MP2;16/32/64 GB;5 MP;2 MP;microUSB 2.0;Non-removable Li-Ion battery;Black;230;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a40.jpg
Acer;Liquid X2;HSDPA 900 / 1900 / 2100 - Europe| Taiwan; LTE 800 / 1800 / 2100 / 2600 - Europe;HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2015  April;153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in);166;586;5.5 inches (~69.0% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP4;32 GB;13 MP| f/1.8| autofocus| LED flash| ;13 MP| f/1.8| autofocus| LED flash;microUSB 2.0;Removable Li-Po 4020 mAh battery;Black| Gold;230;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg
Acer;Liquid Jade 2;HSDPA 900 / 2100 ; LTE;HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2016  February;-;;;5.5 inches;1080 x 1920 pixels (~401 ppi pixel density);Android 6.0 (Marshmallow);Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);;32 GB;21 MP| autofocus| dual-LED flash;8 MP;microUSB 2.0;;Black;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-2.jpg
Acer;Liquid Zest Plus; HSDPA; LTE;HSPA  LTE;Yes;Yes;2016  April;154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in);;;5.5 inches (~70.3% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;16 GB;13 MP| phase detection/laser autofocus| LED flash;5 MP;microUSB 2.0;Non-removable Li-Ion 5000 mAh battery;Blue| White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-zest-plus-z628.jpg
Acer;Liquid Zest;HSDPA 850 / 900 / 1900 / 2100 ; LTE;HSPA  LTE Cat4 150/50 Mbps;Yes;Yes;2016  February;145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in);125;441;5.0 inches (~66.4% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 6.0 (Marshmallow);Quad-core 1.3 GHz - Z525;Mali-400MP2 - Z525;8 GB;8 MP| f/2.0| autofocus| LED flash;5 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Black| White;110;http://cdn2.gsmarena.com/vv/bigpic/acer-zest.jpg
Acer;Predator 8;;;;No;No;2015  September;217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in);3538;1249;8.0 inches (~67.1% screen-to-body ratio);1920 x 1200 pixels (~283 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.6 GHz;;32/64 GB;5 MP;2 MP;microUSB 2.0;Non-removable Li-Po 4420 mAh battery;Black/Silver;350;http://cdn2.gsmarena.com/vv/bigpic/acer-predator-8.jpg
Acer;Liquid Jade Primo;HSDPA 850 / 900 / 1900 / 2100 - Europe/ Taiwan; LTE 800 / 1800 / 2100 / 2600 - Europe;HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps;Yes;Yes;2015  September;156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in);150;529;5.5 inches (~70.2% screen-to-body ratio);1080 x 1920 pixels (~401 ppi pixel density);Microsoft Windows 10;Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57);Adreno 418;32 GB;21 MP| f/2.2| autofocus| dual-LED flash| ;8 MP| f/2.2| 1080p@30fps;3.1| Type-C 1.0 reversible connector;Non-removable Li-Po 2870 mAh battery;Black;220;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-primo-.jpg
Acer;Liquid Z330; HSDPA; LTE;HSPA  LTE;Yes;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;501;4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.1 GHz Cortex-A7;Adreno 304;8 GB;5 MP| autofocus| LED flash;5 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Mystic Black| Pure White;110;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg
Acer;Liquid Z320; HSDPA;;HSPA 42.2/5.76 Mbps;Yes;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;501;4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.0 GHz Cortex-A7;Adreno 304;8 GB;5 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Po 2000 mAh battery;Pure White;90;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z320-z330.jpg
Acer;Liquid Z630S;HSDPA 900 / 1900 / 2100 ; LTE;HSPA  LTE;Yes;Yes;2015  September;156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in);165;582;5.5 inches (~68.8% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;32 GB;8 MP| autofocus| LED flash;8 MP;microUSB 2.0| USB On-The-Go;Removable Li-Po 4000 mAh battery (15.2 Wh);Black| Gold;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg
Acer;Liquid Z630; HSDPA; LTE;HSPA  LTE;Yes;Yes;2015  September;156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in);165;582;5.5 inches (~68.8% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;8 GB;8 MP| autofocus| LED flash;8 MP;microUSB 2.0| USB On-The-Go;Removable Li-Ion 4000 mAh battery;Black;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg
Acer;Liquid Z530S; HSDPA; LTE;HSPA  LTE;Yes;Yes;2015  September;144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in);145;511;5.0 inches (~68.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Octa-core 1.3 GHz Cortex-A53;Mali-T720MP3;32 GB;8 MP| autofocus| LED flash;8 MP;microUSB 2.0;Removable Li-Ion 2420 mAh battery;Black| White;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg
Acer;Liquid Z530; HSDPA; LTE;HSPA  LTE;Yes;Yes;2015  September;144 x 70.3 x 8.9 mm (5.67 x 2.77 x 0.35 in);145;511;5.0 inches (~68.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.3 GHz Cortex-A53;Mali-T720MP2;8 GB;8 MP| autofocus| LED flash;8 MP;microUSB 2.0;Removable Li-Ion 2420 mAh battery;Black| White;150;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z530.jpg
Acer;Liquid M330; HSDPA; LTE;HSPA  LTE;Yes;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;501;4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Microsoft Windows 10;Quad-core 1.0 GHz Cortex-A7;Adreno 304;8 GB;5 MP| autofocus| LED flash;5 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Mystic Black| Pure White;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg
Acer;Liquid M320; HSDPA;;HSPA 42.2/5.76 Mbps;Yes;Yes;2015  September;136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in);142;501;4.5 inches (~61.7% screen-to-body ratio);480 x 854 pixels (~218 ppi pixel density);Microsoft Windows 10;Quad-core 1.1 GHz Cortex-A7;Adreno 304;8 GB;5 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 2000 mAh battery;Mystic Black| Pure White;;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m320-m330.jpg
Acer;Iconia Tab 10 A3-A30;;;;No;No;2015  April;260 x 176 x 9.7 mm (10.24 x 6.93 x 0.38 in);540;119;10.1 inches (~64.6% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.33 GHz;;16/32/64 GB;5 MP;2 MP;microUSB 2.0;Non-removable Li-Ion 5910 mAh battery (22 Wh);Various;250;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-10-a3-a30-new.png
Acer;Iconia One 8 B1-820;;;;No;No;2015  April;213.9 x 127.7 x 9.5 mm (8.42 x 5.03 x 0.37 in);355;1252;8.0 inches (~67.9% screen-to-body ratio);800 x 1280 pixels (~189 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.33 GHz;;16/32 GB;5 MP;VGA;microUSB 2.0;Non-removable Li-Ion 4550 mAh battery (17.2 Wh);Various;180;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-8-b1-820.jpg
Acer;Iconia Tab A3-A20;;;;No;No;2014  October;256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in);508;112;10.1 inches (~67.8% screen-to-body ratio);1280 x 800 pixels (~149 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-450MP4;16 GB;5 MP| autofocus;2 MP;microUSB 2.0;Non-removable Li-Po 5910 mAh battery (A3-A20-K1AY);Black| White;190;http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg
Acer;Iconia Tab A3-A20FHD;;;;No;No;2014  October;256.5 x 170.2 x 10.2 mm (10.10 x 6.70 x 0.40 in);508;112;10.1 inches (~67.8% screen-to-body ratio);1920 x 1200 pixels (~224 ppi pixel density);Android 4.4 (KitKat);Quad-core 1.5 GHz Cortex-A7;Mali-450MP4;32 GB;5 MP| autofocus;2 MP;microUSB 2.0;Non-removable Li-Po 5910 mAh battery (A3-A20FHD-K8KX);Black| White;230;http://cdn2.gsmarena.com/vv/bigpic/acer-a3-20.jpg
Acer;Liquid Jade Z;HSDPA 900 / 2100 ;LTE band 1(2100)| 3(1800)| 7(2600)| 20(800);HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2015  March;143.5 x 69.8 x 8 mm (5.65 x 2.75 x 0.31 in);110;388;5.0 inches (~68.8% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 5.0 (Lollipop);Quad-core 1.5 GHz Cortex-A53;Mali-T760MP2;8 GB;13 MP| f/1.8| autofocus| LED flash;5 MP;microUSB 2.0;Non-removable Li-Po 2300 mAh battery;Black| White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-z.jpg
Acer;Liquid Z520;HSDPA 900 / 2100 ;;HSPA;Yes;Yes;2015  March;154 x 86 x 6.4 mm (6.06 x 3.39 x 0.25 in);118;416;5.0 inches (~57.1% screen-to-body ratio);480 x 854 pixels (~187 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Po 2000 mAh battery;Black| White;130;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z520.jpg
Acer;Liquid Z220;HSDPA 900 / 2100 ;;HSPA;Yes;Yes;2015  March;125.3 x 64 x 9.6 mm (4.93 x 2.52 x 0.38 in);120;423;4.0 inches (~56.8% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 5.0 (Lollipop);Dual-core 1.2 GHz Cortex-A7;Adreno 302;8 GB;5 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 1300 mAh battery;Black| White;90;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z220.jpg
Acer;Liquid M220;HSDPA 900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  March;124.9 x 64 x 9.6 mm (4.92 x 2.52 x 0.38 in);119;420;4.0 inches (~57.0% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Microsoft Windows Phone 8.1;Dual-core 1.2 GHz Cortex-A7;Adreno 302;4 GB;5 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 1300 mAh battery;Mystic Black| Pure White;80;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-m220.jpg
Acer;Liquid Z410;HSDPA 900 / 2100 ;LTE band 1(2100)| 3(1800)| 7(2600)| 20(800);HSPA  LTE Cat4 150/50 Mbps;Yes;Yes;2015  January;136 x 66.7 x 9.9 mm (5.35 x 2.63 x 0.39 in);145;511;4.5 inches (~61.5% screen-to-body ratio);540 x 960 pixels (~245 ppi pixel density);Android 4.4.4 (KitKat);Quad-core 1.3 GHz Cortex-A53;Mali-T760MP2;8 GB;5 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Po 2000 mAh battery;Black;130;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z410.jpg
Acer;Liquid Jade S;HSDPA 900 / 2100 ;LTE band 3(1800)| 8(900)| 28(700) - Taiwan;HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2014  December;143 x 69 x 7.8 mm (5.63 x 2.72 x 0.31 in);116;409;5.0 inches (~69.8% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.4 (KitKat)| upgradable to 5.1 (Lollipop);Octa-core 1.5 GHz Cortex-A53;Mali-T760MP2;16 GB;13 MP| f/1.8| autofocus| LED flash| ;5 MP| f/2.2;microUSB 2.0;Non-removable Li-Ion 2300 mAh battery;Black| White| Red| Pink;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade-s-s56.jpg
Acer;Liquid Z500;HSDPA 900 / 2100 ;;HSPA;Yes;Yes;2014  September;145 x 73 x 8.8 mm (5.71 x 2.87 x 0.35 in);150;529;5.0 inches (~65.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;4 GB;8 MP| autofocus| LED flash;2 MP;microUSB 2.0;Non-removable Li-Ion 2000 mAh battery;Aquamarine Green| Sandy Silver| Titanium Black;150;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg
Acer;Liquid X1;HSDPA 900 / 2100 ;LTE band 3(1800)| 7(2600);HSPA  LTE;Yes;Yes;2014  June;153.3 x 80.4 x 8.5 mm (6.04 x 3.17 x 0.33 in);164;578;5.7 inches (~72.7% screen-to-body ratio);720 x 1280 pixels (~258 ppi pixel density);Android 4.4.2 (KitKat);Octa-core 1.7 GHz Cortex-A7;Mali-450MP4;16 GB;13 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Ion 2700 mAh battery;Graphite black| Wine red;260;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x1.jpg
Acer;Liquid Jade;HSDPA 900 / 2100 ;;HSPA;Yes;Yes;2014  June;140.5 x 69 x 7.5 mm (5.53 x 2.72 x 0.30 in);110;388;5.0 inches (~71.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;13 MP| autofocus| LED flash;2 MP;microUSB 2.0;Non-removable Li-Ion 2100 mAh battery;Black| White| Green| Pink| Gray;180;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-jade.jpg
Acer;Liquid E700;HSDPA 850 / 900 / 1900 / 2100 ;;HSPA;Yes;Yes;2014  June;147.3 x 73 x 9.9 mm (5.80 x 2.87 x 0.39 in);155;547;5.0 inches (~64.1% screen-to-body ratio);720 x 1280 pixels (~294 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.2 GHz Cortex-A7;Mali-400MP2;16 GB;8 MP| autofocus| LED flash;2 MP| LED flash;microUSB 2.0;Non-removable Li-Ion 3500 mAh battery;Titan Black| Burgundy Red;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e700.jpg
Acer;Liquid E600;HSDPA 900 / 2100 ;LTE band 1(2100)| 3(1800)| 7(2600)| 20(800);HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2014  June;147 x 72 x 9.5 mm (5.79 x 2.83 x 0.37 in);155;547;5.0 inches (~65.1% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.2 GHz Cortex-A7;Adreno 305;4 GB;8 MP| autofocus| LED flash;2 MP or VGA;microUSB 2.0;Non-removable Li-Ion 2500 mAh battery;Black| Green| Dark red;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e600-1.jpg
Acer;Liquid Z200;HSDPA 900 / 2100 ;;HSPA;Yes;Yes;2014  June;126 x 65 x 10.3 mm (4.96 x 2.56 x 0.41 in);130;459;4.0 inches (~55.6% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.0 GHz Cortex-A7;Mali-400;4 GB;2 MP;No;microUSB 2.0;Removable Li-Ion 1300 mAh battery;Titanium Black| Essential White| Fragrant Pink| Sky Blue| Sunshine Yellow;90;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z200.jpg
Acer;Iconia Tab 8 A1-840FHD;;;;No;No;2014  June;215 x 130 x 8.5 mm (8.46 x 5.12 x 0.33 in);360;1270;8.0 inches (~66.4% screen-to-body ratio);1200 x 1920 pixels (~283 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.86 GHz;Intel Gen 7 (Ivy Bridge);16/32 GB;5 MP;2 MP;microUSB 2.0;Non-removable Li-Ion 4600 mAh battery;Silver;200;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-8-2014-1.jpg
Acer;Iconia Tab 7 A1-713; HSDPA;;HSPA;Yes;Yes;2014  April;8.9 mm thickness;298;1051;7.0 inches (~64.5% screen-to-body ratio);600 x 1024 pixels (~170 ppi pixel density);Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat);Quad-core;;16 GB;2 MP;Yes;microUSB 2.0;Non-removable Li-Ion battery;Black;110;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg
Acer;Iconia Tab 7 A1-713HD; HSDPA;;HSPA;Yes;Yes;2014  April;8.9 mm thickness;298;1051;7.0 inches (~66.4% screen-to-body ratio);800 x 1280 pixels (~216 ppi pixel density);Android 4.4.2 (KitKat);Quad-core;;16 GB;5 MP;Yes;microUSB 2.0;Non-removable Li-Ion battery;Black;150;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-7.jpg
Acer;Iconia One 7 B1-730;;;;No;No;2014  April;8.9 mm thickness;;;7.0 inches (~66.4% screen-to-body ratio);800 x 1280 pixels (~216 ppi pixel density);Android 4.2.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat);Dual-core 1.6 GHz;PowerVR SGX544MP2;8 GB;5 MP;Yes;microUSB 2.0;Non-removable Li-Ion 3700 mAh battery;Red| white| black| blue| pink;90;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-one-7.jpg
Acer;Liquid E3 Duo Plus; HSDPA;;HSPA;Yes;Yes;2014  Q3;138 x 69 x 8.9 mm (5.43 x 2.72 x 0.35 in);;;4.7 inches (~64.0% screen-to-body ratio);720 x 1280 pixels (~312 ppi pixel density);Android 4.2.2 (Jelly Bean);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;16 GB;13 MP| autofocus| LED flash;2 MP| LED flash;microUSB 2.0;Non-removable Li-Ion battery;Black;240;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-plus.jpg
Acer;Liquid E3; HSDPA;;HSPA;Yes;Yes;2014  February;136 x 68 x 9 mm (5.35 x 2.68 x 0.35 in);134;473;4.7 inches (~65.8% screen-to-body ratio);720 x 1280 pixels (~312 ppi pixel density);Android 4.2.2 (Jelly Bean);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;4 GB;13 MP| autofocus| LED flash;2 MP| LED flash;microUSB 2.0;Non-removable Li-Ion battery;Black/White;200;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-e3-new.jpg
Acer;Liquid Z4; HSDPA;;HSPA;Yes;Yes;2014  February;124 x 64 x 9.7 mm (4.88 x 2.52 x 0.38 in);122;430;4.0 inches (~57.4% screen-to-body ratio);480 x 800 pixels (~233 ppi pixel density);Android 4.2.2 (Jelly Bean);Dual-core 1.3 GHz Cortex-A7;Mali-400;4 GB;5 MP| autofocus| LED flash;1.3 MP;microUSB 2.0;Removable Li-Ion 1630 mAh battery;Black/White;100;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z4.jpg
Acer;Iconia B1-721; HSDPA;;HSPA;Yes;Yes;2014  January;199 x 122.3 x 11.4 mm (7.83 x 4.81 x 0.45 in);323;1139;7.0 inches (~56.7% screen-to-body ratio);600 x 1024 pixels (~170 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.3 GHz Cortex-A7;Mali-400;16 GB;VGA;No;microUSB 2.0;Non-removable Li-Po 2955 mAh battery;Black/Red;130;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-b1-721.jpg
Acer;Iconia B1-720;;;;No;No;2014  January;198.1 x 121.9 x 10.2 mm (7.80 x 4.80 x 0.40 in);315;1111;7.0 inches (~57.1% screen-to-body ratio);600 x 1024 pixels (~170 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.3 GHz;PowerVR SGX531;8/16 GB;VGA;No;microUSB 2.0;Non-removable Li-Po 2955 mAh battery;Various;100;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-b1-720.jpg
Acer;Iconia A1-830;;;;No;No;2014  January;203 x 138.4 x 8.2 mm (7.99 x 5.45 x 0.32 in);380;1340;7.9 inches (~68.8% screen-to-body ratio);768 x 1024 pixels (~162 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.6 GHz;PowerVR SGX544MP2;16 GB;5 MP| autofocus;2 MP;microUSB 2.0;Non-removable Li-Ion 4000 mAh battery;White;130;http://cdn2.gsmarena.com/vv/bigpic/Acer-Iconia-A1-830.jpg
Acer;Liquid Z5;HSDPA 900 / 2100 ;;HSPA;Yes;Yes;2014  January;145.5 x 73.5 x 8.8 mm (5.73 x 2.89 x 0.35 in);150;529;5.0 inches (~64.4% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.3 GHz Cortex-A7;Mali-400;4 GB;5 MP| LED flash;VGA;microUSB 2.0;Non-removable Li-Ion 2000 mAh battery;Essential White| Gentle Grey;170;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z5.jpg
Acer;Liquid S2;HSDPA 900 / 2100 ;LTE band 3(1800)| 7(2600)| 20(800);HSPA 42.2/5.76 Mbps  LTE-A Cat4 150/50 Mbps;Yes;Yes;2013  August;166 x 86.2 x 9 mm (6.54 x 3.39 x 0.35 in);229;808;6.0 inches (~69.0% screen-to-body ratio);1080 x 1920 pixels (~368 ppi pixel density);Android 4.2.2 (Jelly Bean);Quad-core 2.2 GHz Krait 400;Adreno 330;16 GB;13 MP| autofocus| quad-LED (ring) flash;2 MP| 1080p@30fps;microUSB 2.0;Non-removable Li-Po 3300 mAh battery;Black| Red;340;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-s2.jpg
Acer;Liquid Z3;HSDPA 900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2013  August;109 x 60 x 10.4 mm (4.29 x 2.36 x 0.41 in);120;423;3.5 inches (~55.8% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.0 GHz Cortex-A7;Mali-400;4 GB;3.15 MP;No;microUSB 2.0;Removable Li-Ion 1500 mAh battery;Rock Black| Classic White;100;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z3.jpg
Acer;Liquid S1;HSDPA 900 / 2100 ;;HSPA 42.2/5.76 Mbps;Yes;Yes;2013  June;163 x 83 x 9.6 mm (6.42 x 3.27 x 0.38 in);195;688;5.7 inches (~66.2% screen-to-body ratio);720 x 1280 pixels (~258 ppi pixel density);Android 4.2 (Jelly Bean);Quad-core 1.5 GHz Cortex-A7;PowerVR SGX544;8 GB;8 MP| autofocus| LED flash;2 MP;microUSB 2.0;Removable Li-Po 2400 mAh battery;White| Black;320;http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-s1.jpg
Acer;Iconia Tab A3;HSDPA 850 / 900 / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Up to 236.8 kbps;2013  September;260 x 175 x 10.2 mm (10.24 x 6.89 x 0.40 in);560;123;10.1 inches (~65.0% screen-to-body ratio);800 x 1280 pixels (~149 ppi pixel density);Android 4.2.2 (Jelly Bean);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;16/32 GB;5 MP;VGA;microUSB 2.0| USB Host;Non-removable Li-Po 7300 mAh battery (27 Wh);Black/Silver| White;190;http://cdn2.gsmarena.com/vv/bigpic/acer-iconia-a3-a10.jpg
