brand;model;3G_bands;4G_bands;network_speed;GPRS;EDGE;announced;dimentions;weight_g;weight_oz;display_resolution;display_size;OS;CPU;GPU;internal_memory;primary_camera;secondary_camera;USB;battery;colors;approx_price_EUR;img_url
verykool;SL5550 Maverick LTE;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ;LTE band 1(2100)| 2(1900)| 4(1700/2100)| 5(850)| 7(2600)| 17(700);HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2015  December;155 x 76.5 x 8.8 mm (6.10 x 3.01 x 0.35 in);166;586;5.5 inches (~70.3% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.0 GHz Cortex-A53;Mali-T720MP2;16 GB;13 MP| autofocus| LED flash;8 MP| autofocus| LED flash;microUSB 2.0;Li-Ion 2500 mAh battery;Black| White;;http://cdn2.gsmarena.com/vv/bigpic/verykool-sl5550.jpg
verykool;s5518Q Maverick;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  November;157.5 x 77.7 x 8.1 mm (6.20 x 3.06 x 0.32 in);170;600;5.5 inches (~68.1% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 4.4.2 (KitKat)| upgradable to 5.0 (Lollipop);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| autofocus| LED flash;5 MP;microUSB 2.0;Li-Ion 2600 mAh battery;Black| White/Gold;140;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5518q.jpg
verykool;s5017Q Dorado;HSDPA 850 / 1700(AWS) / 1900 / 2100 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  November;148.3 x 71.1 x 8.4 mm (5.84 x 2.80 x 0.33 in);161;568;5.0 inches (~65.3% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat)| upgradable to 5.0 (Lollipop);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| autofocus| LED flash;5 MP;microUSB 2.0;Li-Ion 1850 mAh battery;Black| Gold;110;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5017q.jpg
verykool;sl5009 Jet;HSDPA 850 / 1700(AWS) / 1900 / 2100 ;LTE band 2(1900)| 4(1700/2100)| 5(850)| 7(2600)| 17(700);HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps;Yes;Yes;2015  September;147 x 72.5 x 8.9 mm (5.79 x 2.85 x 0.35 in);165;582;5.0 inches (~64.6% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 5.1 (Lollipop);Quad-core 1.1 GHz Cortex-A53;Mali-T720MP2;8 GB;8 MP| autofocus| LED flash;1.3 MP| LED flash;microUSB 2.0;Li-Ion 1900 mAh battery;Black| Blue;;http://cdn2.gsmarena.com/vv/bigpic/verykool-sl5009.jpg
verykool;R28 Denali;HSDPA 850 / 1700(AWS) / 1900 ;;HSPA 7.2/5.76 Mbps;Yes;Yes;2015  August;132 x 48.5 x 15 mm (5.20 x 1.91 x 0.59 in);127;448;2.4 inches (~27.9% screen-to-body ratio);240 x 320 pixels (~167 ppi pixel density);;611 MHz;;;5 MP;No;microUSB 2.0;Li-Ion 1400 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/verykool-r28.jpg
verykool;T7440 Kolorpad II;HSDPA 850 / 1900 ;;HSPA 42.2/5.76 Mbps;Yes;Yes;2015  August;192 x 108 x 9.8 mm (7.56 x 4.25 x 0.39 in);253;892;7.0 inches (~66.5% screen-to-body ratio);600 x 1024 pixels (~170 ppi pixel density);Android 4.4.2 (KitKat);Quad-core 1.2 GHz Cortex-A7;PowerVR SGX544;8 GB;5 MP| autofocus| LED flash;1.3 MP;microUSB 2.0;Li-Ion 2500 mAh battery;Black| White;;http://cdn2.gsmarena.com/vv/bigpic/verykool-t7440.jpg
verykool;s5017 Dorado;HSDPA 850 / 1700(AWS) / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  August;148.3 x 72.1 x 8.4 mm (5.84 x 2.84 x 0.33 in);163;575;5.0 inches (~64.4% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat)| upgradable to 5.0 (Lollipop);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| autofocus| LED flash;5 MP;microUSB 2.0;Li-Ion 1850 mAh battery;Black| Gold;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5017.jpg
verykool;s3504 Mystic II;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  August;119 x 65 x 12 mm (4.69 x 2.56 x 0.47 in);105;370;3.5 inches (~47.2% screen-to-body ratio);320 x 480 pixels (~165 ppi pixel density);Android 4.2 (Jelly Bean);Dual-core 1.0 GHz Cortex-A7;Mali-400;4 GB;5 MP;1.3 MP;microUSB 2.0;Removable Li-Ion 1200 mAh battery;Black;;http://cdn2.gsmarena.com/vv/bigpic/verykool-s3504.jpg
verykool;s5518 Maverick;HSDPA 850 / 1700(AWS) / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2015  July;157 x 77.7 x 8.1 mm (6.18 x 3.06 x 0.32 in);172;607;5.5 inches (~68.4% screen-to-body ratio);720 x 1280 pixels (~267 ppi pixel density);Android 4.4.2 (KitKat)| upgradable to 5.0 (Lollipop);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;8 GB;8 MP| autofocus| LED flash;5 MP;microUSB 2.0;Li-Ion 2600 mAh battery;Black| White/Gold| Gold;140;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5518.jpg
verykool;s5012 Orbit;HSDPA 850 / 1900 ;;HSPA 21.1/5.76 Mbps;Yes;Yes;2014  October;146.1 x 74.8 x 9.5 mm (5.75 x 2.94 x 0.37 in);159;561;5.0 inches (~63.0% screen-to-body ratio);480 x 854 pixels (~196 ppi pixel density);Android 4.4.2 (KitKat);Dual-core 1.2 GHz Cortex-A7;Mali-400;4 GB;8 MP| LED flash;1.3 MP;microUSB 2.0;Li-Ion 1800 mAh battery;Blue| Red;110;http://cdn2.gsmarena.com/vv/bigpic/verykool-s5012.jpg
